University,Amount,canton
AO Research Institute - AORI,3435.621,Institution not in Switzerland
Allergie- und Asthmaforschung - SIAF,19169.965,address unfound
Berner Fachhochschule - BFH,31028.69500000002,address unfound
Biotechnologie Institut Thurgau - BITG,2492.535,TG
Centre de rech. sur l'environnement alpin - CREALP,1567.6779999999999,address unfound
EPF Lausanne - EPFL,1175315.9139199972,VD
ETH Zürich - ETHZ,1635596.6182500012,ZH
Eidg. Anstalt für Wasserversorgung - EAWAG,74619.22236999999,address unfound
"Eidg. Forschungsanstalt für Wald,Schnee,Land - WSL",48360.389630000034,address unfound
Eidg. Hochschulinstitut für Berufsbildung - EHB,2086.572,address unfound
Eidg. Material und Prüfungsanstalt - EMPA,58574.51591999998,address unfound
Ente Ospedaliero Cantonale - EOC,5067.172,address unfound
Fachhochschule Kalaidos - FHKD,1090.28,address unfound
Fachhochschule Nordwestschweiz (ohne PH) - FHNW,42771.91411999997,address unfound
Fachhochschule Ostschweiz - FHO,4437.0560000000005,address unfound
Facoltà di Teologia di Lugano - FTL,8.0,TI
Fernfachhochschule Schweiz (Mitglied SUPSI) - FFHS,12.0,address unfound
Firmen/Privatwirtschaft - FP,111686.71989999997,address unfound
Forschungsanstalten Agroscope - AGS,33115.719,address unfound
Forschungsinstitut für Opthalmologie - IRO,3478.469,address unfound
Forschungsinstitut für biologischen Landbau - FIBL,7442.41,address unfound
Forschungskommission SAGW,100.0,address unfound
Franklin University Switzerland - FUS,65.956,address unfound
Friedrich Miescher Institute - FMI,40229.142609999995,address unfound
HES de Suisse occidentale - HES-SO,34162.96545999998,address unfound
"Haute école pédagogique BE, JU, NE - HEPBEJUNE",627.38,address unfound
Haute école pédagogique du canton de Vaud - HEPL,1430.686,address unfound
Haute école pédagogique fribourgeoise - HEPFR,1547.498,address unfound
Hochschule Luzern - HSLU,10768.116359999996,LU
Idiap Research Institute - IDIAP,22183.105199999998,address unfound
Inst. Suisse de Spéléologie et Karstologie - ISSKA,624.819,address unfound
Inst. de Hautes Etudes Internat. et du Dév - IHEID,38864.2316,address unfound
Inst. universit. romand de Santé au Travail - IST,6882.729850000001,address unfound
Institut Universitaire Kurt Bösch - IUKB,1977.3400000000001,address unfound
Institut für Kulturforschung Graubünden - IKG,1219.681,address unfound
Instituto Ricerche Solari Locarno - IRSOL,951.2379999999999,TI
Interkant. Hochschule für Heilpädagogik ZH - HfH,2839.8719999999994,address unfound
Istituto Svizzero di Roma - ISR,141.0,Institution not in Switzerland
Kantonsspital St. Gallen - KSPSG,15034.105000000001,SG
"NPO (Biblioth., Museen, Verwalt.) - NPO",334130.58379000006,address unfound
Nicht zuteilbar - NA,142425.71957,address unfound
Paul Scherrer Institut - PSI,115268.9688700002,AG
Physikal.-Meteorolog. Observatorium Davos - PMOD,12098.436,GR
Pädag. Hochschule Tessin (Teilschule SUPSI) - ASP,159.317,TI
Pädagogische Hochschule Bern - PHBern,1990.3896,BE
Pädagogische Hochschule Graubünden - PHGR,614.6129999999999,address unfound
Pädagogische Hochschule Luzern - PHLU,1979.281,LU
Pädagogische Hochschule Nordwestschweiz - PHFHNW,3476.142,address unfound
Pädagogische Hochschule Schaffhausen - PHSH,176.691,SH
Pädagogische Hochschule Schwyz - PHSZ,936.5509999999999,SZ
Pädagogische Hochschule St. Gallen - PHSG,2098.3869999999997,SG
Pädagogische Hochschule Thurgau - PHTG,1526.446,TG
Pädagogische Hochschule Wallis - PHVS,425.498,address unfound
Pädagogische Hochschule Zug - PHZG,495.71500000000003,address unfound
Pädagogische Hochschule Zürich - PHZFH,3298.346,ZH
Robert Walser-Stiftung Bern - RWS,569.5790000000001,BE
SUP della Svizzera italiana - SUPSI,24040.082150000006,address unfound
Schweiz. Hochschule für Logopädie Rorschach - SHLR,429.6,canton unfound
Schweiz. Institut für Kunstwissenschaft - SIK-ISEA,4649.549999999999,address unfound
Schweizer Kompetenzzentrum Sozialwissensch. - FORS,34735.816000000006,address unfound
Schweizer Paraplegiker Forschung - SPF,1944.2110000000002,address unfound
Staatsunabh. Theologische Hochschule Basel - STHB,17.3,BS
Swiss Center for Electronics and Microtech. - CSEM,18068.246,address unfound
Swiss Institute of Bioinformatics - SIB,11583.219000000001,address unfound
Università della Svizzera italiana - USI,84970.55475,address unfound
Universität Basel - BS,1352251.4643699995,BS
Universität Bern - BE,1519373.0346899978,BE
Universität Luzern - LU,39981.67830999997,LU
Universität St. Gallen - SG,69194.95444999999,SG
Universität Zürich - ZH,1826842.6749999989,ZH
Université de Fribourg - FR,457526.17024999985,FR
Université de Genève - GE,1838237.3084999952,GE
Université de Lausanne - LA,1183290.7566800015,VD
Université de Neuchâtel - NE,383204.58229999995,address unfound
Weitere Institute - FINST,9256.736,address unfound
Weitere Spitäler - ASPIT,10749.807999999999,address unfound
Zürcher Fachhochschule (ohne PH) - ZFH,44843.45312000001,address unfound
